tconst,primaryTitle,genres,averageRating,numVotes,encoding
tt0477348,No Country for Old Men,"Crime,Drama,Thriller",8.2,959172,"[0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 1. 0. 0.]"
tt0082971,Indiana Jones and the Raiders of the Lost Ark,"Action,Adventure",8.4,956655,"[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
tt0119217,Good Will Hunting,"Drama,Romance",8.3,954402,"[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.
 0. 0. 0.]"
tt0268978,A Beautiful Mind,"Biography,Drama",8.2,924013,"[0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
tt2488496,Star Wars: Episode VII - The Force Awakens,"Action,Adventure,Sci-Fi",7.8,922541,"[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
 0. 0. 0.]"
tt1475582,Sherlock,"Crime,Drama,Mystery",9.1,912295,"[0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
tt1392170,The Hunger Games,"Action,Adventure,Sci-Fi",7.2,910221,"[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
 0. 0. 0.]"
tt0198781,"Monsters, Inc.","Adventure,Animation,Comedy",8.1,899067,"[0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
tt0078748,Alien,"Horror,Sci-Fi",8.5,870530,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
 0. 0. 0.]"
tt0095016,Die Hard,"Action,Thriller",8.2,868130,"[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 1. 0. 0.]"
tt1201607,Harry Potter and the Deathly Hallows: Part 2,"Adventure,Fantasy,Mystery",8.1,863565,"[0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
tt0088247,The Terminator,"Action,Sci-Fi",8.1,856313,"[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
 0. 0. 0.]"
tt2395427,Avengers: Age of Ultron,"Action,Adventure,Sci-Fi",7.3,852044,"[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
 0. 0. 0.]"
tt0208092,Snatch,"Comedy,Crime",8.3,848151,"[0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
tt1675434,The Intouchables,"Biography,Comedy,Drama",8.5,846195,"[0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
tt3659388,The Martian,"Adventure,Drama,Sci-Fi",8.0,842911,"[0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
 0. 0. 0.]"
tt1300854,Iron Man 3,"Action,Adventure,Sci-Fi",7.1,840952,"[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
 0. 0. 0.]"
tt1010048,Slumdog Millionaire,"Crime,Drama,Romance",8.0,840737,"[0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.
 0. 0. 0.]"
tt0800369,Thor,"Action,Adventure,Fantasy",7.0,840323,"[1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
tt2582802,Whiplash,"Drama,Music",8.5,837520,"[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
tt0458339,Captain America: The First Avenger,"Action,Adventure,Sci-Fi",6.9,835959,"[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
 0. 0. 0.]"
tt1843866,Captain America: The Winter Soldier,"Action,Adventure,Sci-Fi",7.8,834950,"[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
 0. 0. 0.]"
tt0180093,Requiem for a Dream,Drama,8.3,833336,"[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
tt0086250,Scarface,"Crime,Drama",8.3,828443,"[0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
tt0435761,Toy Story 3,"Adventure,Animation,Comedy",8.3,828057,"[0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
tt0066921,A Clockwork Orange,"Crime,Sci-Fi",8.3,821504,"[0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
 0. 0. 0.]"
tt1454468,Gravity,"Drama,Sci-Fi,Thriller",7.7,820344,"[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
 1. 0. 0.]"
tt0253474,The Pianist,"Biography,Drama,Music",8.5,820156,"[0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
tt0075314,Taxi Driver,"Crime,Drama",8.2,818066,"[0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
